starttime,endtime,qc_variable,flag_name
27663,29905,CVI_quality,bad
27663,29905,WVISO1_quality,bad
27663,29905,WVISO2_quality,bad
0,0,0,0
56224,58164,CVI_quality,bad
56224,58164,CVI_quality,bad
56224,58164,CVI_quality,bad
0,0,0,0
37085,37299,CVI_quality,caution_inlet_flooding
37085,37299,WVISO1_quality,caution_inlet_flooding
0,0,0,0
37219,37313,WVISO2_quality,caution_inlet_flooding
0,0,0,0
42309,42426,WVISO2_quality,caution_inlet_flooding
0,0,0,0
42523,42580,WVISO2_quality,caution_inlet_flooding
0,0,0,0
42309,42323,CVI_quality,caution_inlet_flooding
42309,42323,WVISO1_quality,caution_inlet_flooding
0,0,0,0
43447,43565,CVI_quality,caution_inlet_flooding
43447,43565,WVISO1_quality,caution_inlet_flooding
0,0,0,0
44566,44592,CVI_quality,caution_residual_vapor
44566,44592,WVISO1_quality,caution_residual_vapor
0,0,0,0
35004,35034,CVI_quality,caution_residual_vapor
35004,35034,WVISO1_quality,caution_residual_vapor
0,0,0,0
35923,36021,CVI_quality,caution_residual_vapor
35923,36021,WVISO1_quality,caution_residual_vapor
0,0,0,0
48625,48665,CVI_quality,caution_residual_vapor
48625,48665,WVISO1_quality,caution_residual_vapor
0,0,0,0
36086,36102,CVI_quality,caution_residual_vapor
36086,36102,WVISO1_quality,caution_residual_vapor
0,0,0,0
36659,36689,CVI_quality,caution_residual_vapor
36659,36689,WVISO1_quality,caution_residual_vapor
0,0,0,0
37625,37647,CVI_quality,caution_residual_vapor
37625,37647,WVISO1_quality,caution_residual_vapor
0,0,0,0
37847,37856,CVI_quality,caution_residual_vapor
37847,37856,WVISO1_quality,caution_residual_vapor
0,0,0,0
38268,38311,CVI_quality,caution_residual_vapor
38268,38311,WVISO1_quality,caution_residual_vapor
0,0,0,0
38097,38301,WVISO2_quality,caution_inlet_flooding
0,0,0,0
38569,38729,CVI_quality,caution_residual_vapor
38569,38729,WVISO1_quality,caution_residual_vapor
38569,38729,WVISO2_quality,caution_residual_vapor
0,0,0,0
40408,40480,CVI_quality,caution_residual_vapor
40408,40480,WVISO1_quality,caution_residual_vapor
0,0,0,0
41505,41547,CVI_quality,caution_residual_vapor
41505,41547,WVISO1_quality,caution_residual_vapor
0,0,0,0
41321,41340,CVI_quality,caution_inlet_flooding
41321,41340,WVISO1_quality,caution_inlet_flooding
41321,41340,WVISO2_quality,caution_inlet_flooding
0,0,0,0
41413,41451,CVI_quality,caution_inlet_flooding
41413,41451,WVISO1_quality,caution_inlet_flooding
0,0,0,0
41505,41569,WVISO2_quality,caution_inlet_flooding
0,0,0,0
41635,41870,CVI_quality,caution_residual_vapor
41635,41870,WVISO1_quality,caution_residual_vapor
41635,41870,WVISO2_quality,caution_residual_vapor
0,0,0,0
42273,42292,CVI_quality,caution_residual_vapor
42273,42292,WVISO1_quality,caution_residual_vapor
42273,42292,WVISO2_quality,caution_residual_vapor
0,0,0,0
42306,42346,CVI_quality,caution_residual_vapor
42306,42346,WVISO1_quality,caution_residual_vapor
42306,42346,WVISO2_quality,caution_residual_vapor
0,0,0,0
42924,42956,CVI_quality,caution_residual_vapor
42924,42956,WVISO1_quality,caution_residual_vapor
0,0,0,0
42688,42791,CVI_quality,caution_residual_vapor
42688,42791,WVISO1_quality,caution_residual_vapor
42688,42791,WVISO2_quality,caution_residual_vapor
0,0,0,0
44624,44639,CVI_quality,caution_residual_vapor
44624,44639,WVISO1_quality,caution_residual_vapor
0,0,0,0
51588,51595,CVI_quality,caution_residual_vapor
51588,51595,WVISO1_quality,caution_residual_vapor
0,0,0,0
52432,52556,CVI_status,unknown
52432,52556,CVI_quality,caution_residual_vapor
52432,52556,WVISO1_quality,caution_residual_vapor
0,0,0,0
53069,53120,CVI_quality,caution_residual_vapor
53069,53120,WVISO1_quality,caution_residual_vapor
0,0,0,0
53192,53222,CVI_quality,caution_residual_vapor
53192,53222,WVISO1_quality,caution_residual_vapor
